group,label,mean_solve_ms,median_solve_ms,p95_solve_ms,max_solve_ms,max_ipopt_iter,hard_failures,soft_warnings,num_samples,real_time
NMPC reference,,0.003969676378700469,0.003833761904388666,0.00474141170270741,0.0088674146682024,nan,0,0,180,Yes
Speed sensitivity,v2,0.00493799152228838,0.0037558097392320633,0.004697812022641301,0.31419450137764215,261.0,4,0,624,No/limited
Speed sensitivity,v3,0.008752496082014873,0.005581413395702839,0.015450996765866856,0.5265939580276608,408.0,1,0,418,No/limited
Speed sensitivity,v5,0.004358732651564337,0.003756078891456127,0.007053538551554083,0.01786631904542446,15.0,0,0,252,Yes
Speed sensitivity,v7,0.0038376762790398467,0.0037220027297735214,0.004588595544919372,0.007580438628792763,7.0,0,0,180,Yes
Speed sensitivity,v10,0.004499594895316968,0.0038034277968108654,0.006587566575035453,0.03134080767631531,27.0,0,0,126,Yes
Tire-model mismatch,Linear/Linear,0.004275586818241411,0.0040488652884960175,0.006049561267718671,0.009659044444561005,6.0,0,0,180,Yes
Tire-model mismatch,Dugoff/Dugoff,0.004304491625063949,0.004168372135609388,0.005111261643469333,0.00808572769165039,7.0,0,0,180,Yes
Tire-model mismatch,Linear/Pacejka,0.0036655700558589563,0.0035287542268633842,0.004419862385839222,0.0059742070734500885,6.0,0,0,180,Yes
Tire-model mismatch,Dugoff/Pacejka,0.004474268853664398,0.004340006038546562,0.005339262168854475,0.008879181928932667,7.0,0,0,180,Yes
Parameter sensitivity,Nominal,0.003998053446412087,0.003865559119731188,0.004717286955565214,0.009024674072861671,7.0,0,0,180,Yes
Parameter sensitivity,Reduced friction,0.003937128745019436,0.0037641841918230057,0.004805667558684945,0.007742014713585377,7.0,0,0,180,Yes
Parameter sensitivity,Low friction,0.004427353058337837,0.0038065980188548565,0.00743711763061583,0.008595469407737255,8.0,0,0,182,Yes
Parameter sensitivity,Reduced stiffness,0.0038799590638114345,0.003765918780118227,0.004658640455454587,0.00756013672798872,7.0,0,0,180,Yes
Parameter sensitivity,Low stiffness,0.003925533085647557,0.003783315420150757,0.004770053457468748,0.007583075203001499,7.0,0,0,180,Yes
