x,y
570514.8700,7035426.9000
570514.5900,7035426.1000
570514.3300,7035425.2300
570514.1800,7035424.7400
570514.0300,7035424.2300
570513.9000,7035423.6800
570513.7600,7035423.0800
570513.6700,7035422.4400
570513.5500,7035421.7800
570513.4400,7035421.0700
570513.3300,7035420.3400
570513.2300,7035419.5700
570513.1700,7035418.7800
570513.0900,7035417.9400
570513.0000,7035416.9500
570512.9300,7035416.0700
570512.8800,7035415.1600
570512.8900,7035414.2200
570512.8600,7035413.2700
570512.8400,7035412.3100
570512.8100,7035411.3400
570512.7700,7035410.3600
570512.7700,7035409.3500
570512.6800,7035408.3700
570512.5400,7035407.3800
570512.3700,7035406.4000
570512.1400,7035405.4300
570511.9300,7035404.4800
570511.6000,7035403.5300
570511.2200,7035402.6200
570510.7000,7035401.5700
570510.2800,7035400.8400
570509.7500,7035399.8600
570509.1600,7035399.0400
570508.5200,7035398.2600
570507.8600,7035397.4900
570507.1900,7035396.7100
570506.5700,7035396.0000
570505.8800,7035395.2400
570505.2000,7035394.4600
570504.5400,7035393.6800
570503.9000,7035392.8500
570503.1900,7035391.9900
570502.6000,7035391.1000
570502.0600,7035390.1700
570501.5700,7035389.2200
570501.1300,7035388.2300
570500.5900,7035387.0400
570500.2600,7035385.9800
570499.9900,7035384.9100
570499.7700,7035383.8200
570499.5800,7035382.7300
570499.3700,7035381.5700
570499.2300,7035380.4400
570499.0900,7035379.3400
570498.9400,7035378.2200
570498.7600,7035377.1100
570498.5500,7035375.8600
570498.2900,7035374.7300
570497.9800,7035373.6100
570497.6100,7035372.5100
570497.2000,7035371.4200
570496.8100,7035370.3700
570496.2200,7035369.1800
570495.6600,7035368.1900
570495.0800,7035367.2300
570494.4600,7035366.3100
570493.9400,7035365.5400
570493.1700,7035364.3600
570492.5100,7035363.4400
570491.8600,7035362.5300
570491.2300,7035361.6000
570490.5800,7035360.6400
570489.9900,7035359.6600
570489.4400,7035358.6700
570488.9300,7035357.6700
570488.4600,7035356.6700
570487.8800,7035355.5800
570487.4200,7035354.5600
570486.9400,7035353.5600
570486.4500,7035352.5600
570485.8200,7035351.4600
570485.2300,7035350.5000
570484.6200,7035349.6000
570483.9600,7035348.7500
570483.2700,7035347.9400
570482.5500,7035347.1400
570481.7000,7035346.1800
570481.0700,7035345.5500
570480.1800,7035344.6700
570479.4200,7035343.8900
570478.6900,7035343.1100
570477.9400,7035342.3000
570477.2600,7035341.4500
570476.6100,7035340.5600
570475.9900,7035339.6400
570475.4200,7035338.6700
570474.8800,7035337.7600
570474.4200,7035336.7700
570474.0300,7035335.7600
570473.7100,7035334.7300
570473.4800,7035333.6800
570473.2300,7035332.4200
570473.1800,7035331.5200
570473.2100,7035330.2600
570473.3200,7035329.1900
570473.5300,7035328.1400
570473.7400,7035326.9800
570474.1300,7035325.9600
570474.6100,7035324.9600
570475.1900,7035324.0100
570475.8600,7035323.1300
570476.5300,7035322.3200
570477.3300,7035321.5600
570478.1900,7035320.8500
570479.0900,7035320.1900
570480.0300,7035319.5700
570480.9900,7035318.9800
570481.9700,7035318.4200
570483.1200,7035317.7500
570484.1200,7035317.1900
570485.1200,7035316.6200
570486.2300,7035316.0900
570487.2600,7035315.5100
570488.3000,7035314.9300
570489.3400,7035314.3500
570490.3900,7035313.7800
570491.5100,7035313.2500
570492.5900,7035312.6800
570493.6800,7035312.0900
570494.7600,7035311.5200
570495.8400,7035310.9500
570496.9700,7035310.4500
570498.0800,7035309.8900
570499.2100,7035309.3200
570500.3500,7035308.7500
570501.7000,7035308.0800
570502.8200,7035307.5800
570503.9700,7035307.0400
570505.1200,7035306.4900
570506.2800,7035305.9300
570507.4500,7035305.3900
570508.7000,7035304.8500
570509.8900,7035304.3000
570511.0800,7035303.7500
570512.2700,7035303.2100
570513.4400,7035302.6800
570514.5900,7035302.1900
570515.7000,7035301.6900
570516.7700,7035301.2100
570517.8100,7035300.7400
570518.8300,7035300.2800
570520.0900,7035299.7500
570521.1000,7035299.2900
570522.1200,7035298.8500
570523.1200,7035298.3900
570524.1300,7035297.9500
570525.1100,7035297.5300
570526.1000,7035297.0900
570527.1000,7035296.6400
570528.0900,7035296.1900
570529.0700,7035295.7400
570530.0700,7035295.2800
570531.0400,7035294.8200
570532.0000,7035294.3600
570532.9300,7035293.9200
570533.8200,7035293.4800
570534.7700,7035293.0200
570535.6300,7035292.6000
570536.6000,7035292.1400
570537.2700,7035291.8000
570538.1900,7035291.3700
570539.0200,7035290.9700
570539.7600,7035290.6200
570540.4700,7035290.2800
570541.1500,7035289.9500
570541.7900,7035289.6400
570542.5500,7035289.2900
570543.2000,7035289.0000
570543.8400,7035288.7400
570544.4900,7035288.5100
570545.1600,7035288.3100
570545.9500,7035288.1200
570546.6900,7035288.0000
570547.4300,7035287.9400
570548.1900,7035287.9200
570549.0900,7035287.9900
570549.8500,7035288.0600
570550.4900,7035288.2100
570551.3900,7035288.4700
570552.1600,7035288.7700
570552.9100,7035289.1400
570553.6300,7035289.4800
570554.3400,7035289.9900
570555.0300,7035290.5700
570555.6900,7035291.2100
570556.3000,7035291.9200
570556.9200,7035292.7200
570557.4800,7035293.5700
570558.0200,7035294.4700
570558.5500,7035295.4200
570559.1500,7035296.5800
570559.5800,7035297.4700
570559.9800,7035298.3300
570560.5400,7035299.5400
570561.0200,7035300.6200
570561.5000,7035301.7100
570561.9200,7035302.8800
570562.4000,7035304.0200
570562.9600,7035305.3500
570563.4200,7035306.5000
570563.8600,7035307.6600
570564.1900,7035308.8400
570564.5800,7035310.0500
570564.9600,7035311.2900
570565.3200,7035312.5300
570565.6700,7035313.7900
570565.9900,7035315.0500
570566.3300,7035316.3200
570566.6700,7035317.6100
570567.0100,7035318.9000
570567.3500,7035320.1900
570567.6600,7035321.5600
570568.0000,7035322.8700
570568.4100,7035324.4100
570568.7800,7035325.7500
570569.1600,7035327.0700
570569.5100,7035328.3700
570569.9200,7035329.6700
570570.3400,7035330.9500
570570.8000,7035332.2400
570571.2700,7035333.5300
570571.7100,7035334.9100
570572.2100,7035336.2100
570572.7200,7035337.5200
570573.2400,7035338.8100
570573.7700,7035340.1000
570574.2700,7035341.4100
570574.8000,7035342.7000
570575.3400,7035343.9800
570575.8700,7035345.2700
570576.4900,7035346.7400
570577.0500,7035348.0600
570577.5900,7035349.3400
570578.1200,7035350.6100
570578.6600,7035351.8800
570579.1900,7035353.1500
570579.7200,7035354.4900
570580.2600,7035355.7600
570580.7900,7035357.0400
570581.3300,7035358.3300
570581.8600,7035359.6000
570582.4200,7035360.9000
570582.9600,7035362.1900
570583.4900,7035363.4700
570584.0300,7035364.7500
570584.5600,7035366.0400
570585.1300,7035367.3600
570585.7600,7035368.8700
570586.3000,7035370.1600
570586.8500,7035371.4700
570587.4000,7035372.7700
570587.9500,7035374.0700
570588.5000,7035375.3700
570589.0500,7035376.6900
